"State,Airport,Type"
"AK,ADK,Destination"
"AK,ADQ,Destination"
"AK,AKN,Destination"
"AK,ANC,Destination"
"AK,BET,Destination"
"AK,BRW,Destination"
"AK,CDV,Destination"
"AK,DLG,Destination"
"AK,FAI,Destination"
"AK,JNU,Destination"
"AK,KTN,Destination"
"AK,OME,Destination"
"AK,OTZ,Destination"
"AK,PSG,Destination"
"AK,SCC,Destination"
"AK,SIT,Destination"
"AK,WRG,Destination"
"AK,YAK,Destination"
"AL,BHM,Destination"
"AL,DHN,Destination"
"AL,HSV,Destination"
"AL,MGM,Destination"
"AL,MOB,Destination"
"AR,FSM,Destination"
"AR,LIT,Destination"
"AR,TXK,Destination"
"AR,XNA,Destination"
"AZ,AZA,Destination"
"AZ,FLG,Destination"
"AZ,PHX,Destination"
"AZ,PRC,Destination"
"AZ,TUS,Destination"
"AZ,YUM,Destination"
"CA,ACV,Destination"
"CA,BFL,Destination"
"CA,BIH,Destination"
"CA,BUR,Destination"
"CA,FAT,Destination"
"CA,LAX,Destination"
"CA,LGB,Destination"
"CA,MRY,Destination"
"CA,OAK,Destination"
"CA,ONT,Destination"
"CA,PSP,Destination"
"CA,RDD,Destination"
"CA,SAN,Destination"
"CA,SBA,Destination"
"CA,SBP,Destination"
"CA,SCK,Destination"
"CA,SFO,Destination"
"CA,SJC,Destination"
"CA,SMF,Destination"
"CA,SMX,Destination"
"CA,SNA,Destination"
"CA,STS,Destination"
"CO,ALS,Destination"
"CO,ASE,Destination"
"CO,COS,Destination"
"CO,DEN,Destination"
"CO,DRO,Destination"
"CO,EGE,Destination"
"CO,GJT,Destination"
"CO,GUC,Destination"
"CO,HDN,Destination"
"CO,MTJ,Destination"
"CO,PUB,Destination"
"CT,BDL,Destination"
"DE,ILG,Destination"
"FL,DAB,Destination"
"FL,ECP,Destination"
"FL,EYW,Destination"
"FL,FLL,Destination"
"FL,GNV,Destination"
"FL,JAX,Destination"
"FL,MCO,Destination"
"FL,MIA,Destination"
"FL,MLB,Destination"
"FL,PBI,Destination"
"FL,PGD,Destination"
"FL,PIE,Destination"
"FL,PNS,Destination"
"FL,RSW,Destination"
"FL,SFB,Destination"
"FL,SRQ,Destination"
"FL,TLH,Destination"
"FL,TPA,Destination"
"FL,VPS,Destination"
"GA,ABY,Destination"
"GA,AGS,Destination"
"GA,ATL,Destination"
"GA,BQK,Destination"
"GA,CSG,Destination"
"GA,SAV,Destination"
"GA,VLD,Destination"
"HI,HNL,Destination"
"HI,ITO,Destination"
"HI,KOA,Destination"
"HI,LIH,Destination"
"HI,OGG,Destination"
"IA,ALO,Destination"
"IA,CID,Destination"
"IA,DBQ,Destination"
"IA,DSM,Destination"
"IA,FOD,Destination"
"IA,MCW,Destination"
"IA,SUX,Destination"
"ID,BOI,Destination"
"ID,IDA,Destination"
"ID,LWS,Destination"
"ID,PIH,Destination"
"ID,SUN,Destination"
"ID,TWF,Destination"
"IL,BLV,Destination"
"IL,BMI,Destination"
"IL,CMI,Destination"
"IL,DEC,Destination"
"IL,MDW,Destination"
"IL,MLI,Destination"
"IL,ORD,Destination"
"IL,PIA,Destination"
"IL,RFD,Destination"
"IL,SPI,Destination"
"IN,EVV,Destination"
"IN,FWA,Destination"
"IN,IND,Destination"
"IN,SBN,Destination"
"KS,DDC,Destination"
"KS,GCK,Destination"
"KS,HYS,Destination"
"KS,ICT,Destination"
"KS,LBL,Destination"
"KS,MHK,Destination"
"KS,SLN,Destination"
"KY,CVG,Destination"
"KY,LEX,Destination"
"KY,OWB,Destination"
"KY,PAH,Destination"
"KY,SDF,Destination"
"LA,AEX,Destination"
"LA,BTR,Destination"
"LA,LCH,Destination"
"LA,LFT,Destination"
"LA,MLU,Destination"
"LA,MSY,Destination"
"LA,SHV,Destination"
"MA,BOS,Destination"
"MA,ORH,Destination"
"MD,BWI,Destination"
"MD,HGR,Destination"
"MD,SBY,Destination"
"ME,BGR,Destination"
"ME,PQI,Destination"
"ME,PWM,Destination"
"MI,APN,Destination"
"MI,AZO,Destination"
"MI,CIU,Destination"
"MI,CMX,Destination"
"MI,DTW,Destination"
"MI,ESC,Destination"
"MI,FNT,Destination"
"MI,GRR,Destination"
"MI,IMT,Destination"
"MI,LAN,Destination"
"MI,MBS,Destination"
"MI,MKG,Destination"
"MI,MQT,Destination"
"MI,PLN,Destination"
"MI,TVC,Destination"
"MN,BJI,Destination"
"MN,BRD,Destination"
"MN,DLH,Destination"
"MN,HIB,Destination"
"MN,INL,Destination"
"MN,MSP,Destination"
"MN,RST,Destination"
"MN,STC,Destination"
"MO,CGI,Destination"
"MO,COU,Destination"
"MO,JLN,Destination"
"MO,MCI,Destination"
"MO,SGF,Destination"
"MO,STL,Destination"
"MO,TBN,Destination"
"MS,GPT,Destination"
"MS,GTR,Destination"
"MS,JAN,Destination"
"MS,MEI,Destination"
"MS,PIB,Destination"
"MT,BIL,Destination"
"MT,BTM,Destination"
"MT,BZN,Destination"
"MT,FCA,Destination"
"MT,GTF,Destination"
"MT,HLN,Destination"
"MT,MSO,Destination"
"NC,AVL,Destination"
"NC,CLT,Destination"
"NC,EWN,Destination"
"NC,FAY,Destination"
"NC,GSO,Destination"
"NC,ILM,Destination"
"NC,OAJ,Destination"
"NC,PGV,Destination"
"NC,RDU,Destination"
"NC,USA,Destination"
"ND,BIS,Destination"
"ND,DIK,Destination"
"ND,DVL,Destination"
"ND,FAR,Destination"
"ND,GFK,Destination"
"ND,JMS,Destination"
"ND,MOT,Destination"
"ND,XWA,Destination"
"NE,BFF,Destination"
"NE,EAR,Destination"
"NE,GRI,Destination"
"NE,LBF,Destination"
"NE,LNK,Destination"
"NE,OMA,Destination"
"NH,MHT,Destination"
"NH,PSM,Destination"
"NJ,ACY,Destination"
"NJ,EWR,Destination"
"NJ,TTN,Destination"
"NM,ABQ,Destination"
"NM,HOB,Destination"
"NM,ROW,Destination"
"NM,SAF,Destination"
"NV,EKO,Destination"
"NV,LAS,Destination"
"NV,RNO,Destination"
"NY,ALB,Destination"
"NY,ART,Destination"
"NY,BGM,Destination"
"NY,BUF,Destination"
"NY,ELM,Destination"
"NY,HPN,Destination"
"NY,IAG,Destination"
"NY,ISP,Destination"
"NY,ITH,Destination"
"NY,JFK,Destination"
"NY,LGA,Destination"
"NY,OGS,Destination"
"NY,PBG,Destination"
"NY,ROC,Destination"
"NY,SWF,Destination"
"NY,SYR,Destination"
"OH,CAK,Destination"
"OH,CLE,Destination"
"OH,CMH,Destination"
"OH,DAY,Destination"
"OH,LCK,Destination"
"OH,TOL,Destination"
"OK,LAW,Destination"
"OK,OKC,Destination"
"OK,SWO,Destination"
"OK,TUL,Destination"
"OR,EUG,Destination"
"OR,MFR,Destination"
"OR,OTH,Destination"
"OR,PDX,Destination"
"OR,RDM,Destination"
"PA,ABE,Destination"
"PA,AVP,Destination"
"PA,ERI,Destination"
"PA,JST,Destination"
"PA,LBE,Destination"
"PA,MDT,Destination"
"PA,PHL,Destination"
"PA,PIT,Destination"
"PA,SCE,Destination"
"PR,BQN,Destination"
"PR,PSE,Destination"
"PR,SJU,Destination"
"RI,PVD,Destination"
"SC,CAE,Destination"
"SC,CHS,Destination"
"SC,FLO,Destination"
"SC,GSP,Destination"
"SC,HHH,Destination"
"SC,MYR,Destination"
"SD,ABR,Destination"
"SD,ATY,Destination"
"SD,FSD,Destination"
"SD,PIR,Destination"
"SD,RAP,Destination"
"TN,BNA,Destination"
"TN,CHA,Destination"
"TN,MEM,Destination"
"TN,TRI,Destination"
"TN,TYS,Destination"
"TT,GUM,Destination"
"TT,PPG,Destination"
"TT,SPN,Destination"
"TX,ABI,Destination"
"TX,ACT,Destination"
"TX,AMA,Destination"
"TX,AUS,Destination"
"TX,BPT,Destination"
"TX,BRO,Destination"
"TX,CLL,Destination"
"TX,CRP,Destination"
"TX,DAL,Destination"
"TX,DFW,Destination"
"TX,DRT,Destination"
"TX,ELP,Destination"
"TX,GGG,Destination"
"TX,GRK,Destination"
"TX,HOU,Destination"
"TX,HRL,Destination"
"TX,IAH,Destination"
"TX,LBB,Destination"
"TX,LRD,Destination"
"TX,MAF,Destination"
"TX,MFE,Destination"
"TX,SAT,Destination"
"TX,SJT,Destination"
"TX,SPS,Destination"
"TX,TYR,Destination"
"TX,VCT,Destination"
"UT,CDC,Destination"
"UT,CNY,Destination"
"UT,OGD,Destination"
"UT,PVU,Destination"
"UT,SGU,Destination"
"UT,SLC,Destination"
"UT,VEL,Destination"
